Trddt,conBeta,disconBeta,Stkcd
2005-07-12,1.6447574796959026,1.5341396519847808,1
2005-07-13,1.634596696695867,1.519481031318641,1
2005-07-14,1.5975505879201666,1.4970384270916168,1
2005-07-15,1.5857093266047215,1.4965456970981958,1
2005-07-18,1.5561416962341446,1.4872488600214593,1
2005-07-19,1.5432091670964274,1.4908108970814882,1
2005-07-20,1.5400176133734726,1.489860525305568,1
2005-07-21,1.5340180344839622,1.489541612054556,1
2005-07-22,1.5236892347457511,1.486245222959171,1
2005-07-25,1.5369716319652424,1.4844898589311963,1
2005-07-26,1.5175615253390315,1.4770150898298744,1
2005-07-27,1.5052726855741971,1.473063682951669,1
2005-07-28,1.5014290037494271,1.4718715837894345,1
2005-07-29,1.4911268293796491,1.455392603803556,1
2005-08-01,1.4822395919439946,1.4485351794734,1
2005-08-02,1.4558806655797136,1.4426317224752352,1
2005-08-03,1.4556777177233162,1.4383378867492609,1
2005-08-04,1.458806692454977,1.4374354572686268,1
2005-08-05,1.4516826764894115,1.4343272510952034,1
2005-08-08,1.4292592681874263,1.4280951046427766,1
2005-08-09,1.418727581424028,1.42661683132058,1
2005-08-10,1.4068428590829425,1.426550913124465,1
2005-08-11,1.4038469706626864,1.428012388638363,1
2005-08-16,1.4047592417201151,1.4267238524539347,1
2005-08-17,1.413471921136434,1.4247153009711024,1
2005-08-18,1.4183129673293615,1.4219599419642384,1
2005-08-22,1.418285087858174,1.4143525097187184,1
2005-08-23,1.4139542694428835,1.4142618698379743,1
2005-08-24,1.4091271200190854,1.414237890373253,1
2005-08-25,1.4116403525331227,1.4145970659073932,1
2005-08-26,1.4067353686356785,1.4142477052473177,1
2005-08-29,1.403432622605031,1.4131310279814553,1
2005-08-30,1.407181870184539,1.4145572796469874,1
2005-08-31,1.411366739097808,1.410121683913721,1
2005-09-01,1.4051157142619344,1.409413270808768,1
2005-09-02,1.4063048560574145,1.404379531702498,1
2005-09-05,1.4187593318466856,1.40832236051781,1
2005-09-06,1.3653768648703617,1.7036067983072107,1
2005-09-07,1.363396386977033,1.77471363155032,1
2005-09-09,1.346661137657308,1.7319826959605615,1
2005-09-12,1.303361739899534,1.7387882810096718,1
2005-09-13,1.2917571051599517,1.7384508620276398,1
2005-09-14,1.2907606619810688,1.7361667583522706,1
2005-09-15,1.2814825854955267,1.7346673980875256,1
2005-09-16,1.2355466884164694,1.7067710679704489,1
2005-09-19,1.2273490989414564,1.7034901838260434,1
2005-09-20,1.2033737003639344,1.7043854383798973,1
2005-09-21,1.185388453949796,1.6965050933881265,1
2005-09-22,1.18092123902338,1.6952177382084428,1
2005-09-23,1.1670813270740927,1.699826374367313,1
2005-09-26,1.1719498787978089,1.7005057689537015,1
2005-09-27,1.1689504465794904,1.700728206290412,1
2005-10-21,1.1466311060781789,1.700372185056461,1
2005-10-24,1.1610184095812506,1.6925198498335925,1
2005-10-25,1.1783395718908445,1.6941053253860103,1
2005-10-26,1.1775383310536325,1.6966394751944731,1
2005-10-27,1.1629371473431318,1.6978519449959353,1
2005-10-28,1.1419968546772246,1.705310884674073,1
2005-10-31,1.1393039026656422,1.702424476491987,1
2005-11-01,1.1497975661009596,1.712844484131797,1
2005-11-02,1.1380983237642028,1.5754858408368062,1
2005-11-03,1.1453994762364317,1.5833383352271668,1
2005-11-04,1.132421423015978,1.5817071719818343,1
