,1
2005-04-08,5.026791388765188
2005-04-11,5.068144567273201
2005-04-12,2.2666419017302726
2005-04-13,3.999951365448241
2005-04-14,3.0284956475994638
2005-04-15,6.204473277067942
2005-04-18,2.9818391523035355
2005-04-19,3.3538093663563586
2005-04-20,2.8377483302955007
2005-04-21,
2005-04-22,
2005-04-25,4.960750821760239
2005-04-27,4.538394861006235
2005-04-28,2.1159291261206907
2005-04-29,7.199951523777399
2005-05-09,4.269386970847721
2005-05-10,2.956868271858796
2005-05-11,2.1692146472115295
2005-05-12,1.453192976581607
2005-05-13,3.4152715952887736
2005-05-16,2.240544336413044
2005-05-17,2.4850925000298676
2005-05-18,2.1770922465156426
2005-05-19,2.546106599611179
2005-05-20,3.5426115133458898
2005-05-23,2.5704856264041775
2005-05-24,2.0435994639491057
2005-05-25,1.6857530331447257
2005-05-26,0.9575016249701385
2005-05-27,2.150744377139019
2005-05-30,2.3796715386520266
2005-05-31,4.266895574501763
2005-06-01,1.1418820883872074
2005-06-02,3.6408116688662373
2005-06-03,2.4406074200044587
2005-06-06,2.678345580253434
2005-06-07,1.6121163777701533
2005-06-08,1.5192562325839458
2005-06-09,2.325707076011833
2005-06-10,3.3440828700425707
2005-06-13,2.3489584388053935
2005-06-14,1.6186555859288332
2005-06-15,2.5724590833635554
2005-06-16,1.7392030129036664
2005-06-17,
2005-06-20,3.2336663488497672
2005-06-21,2.029103732151304
2005-06-22,2.215382974244716
2005-06-23,4.2026949952337445
2005-06-24,1.912566079526912
2005-06-27,1.9796525512711145
2005-06-28,2.246690830017247
2005-06-29,2.302034898413937
2005-06-30,2.2069640451885033
2005-07-01,3.5990827099277363
2005-07-04,
2005-07-05,2.1086012754226777
2005-07-06,
2005-07-07,2.026442108450856
2005-07-08,1.4157819882433098
2005-07-11,2.708482483360493
2005-07-12,2.3882561917216987
2005-07-13,1.8562612390515887
2005-07-14,2.012162081596172
2005-07-15,1.6278171886890194
2005-07-18,2.796062866601285
2005-07-19,3.467963581102402
2005-07-20,2.854585147138412
2005-07-21,1.949658327231932
2005-07-22,1.7465224254018612
2005-07-25,2.2544231079797434
2005-07-26,1.7031562276932308
2005-07-27,1.7042279106116367
2005-07-28,2.078969892945907
2005-07-29,2.491823658673784
2005-08-01,2.6840396815116256
2005-08-02,
2005-08-03,2.9820616737324537
2005-08-04,
2005-08-05,1.4781356611268341
2005-08-08,
2005-08-09,
2005-08-10,2.9432502862042855
2005-08-11,2.437804153410652
2005-08-16,1.3988147828132518
2005-08-17,2.5382282961323104
2005-08-18,3.494074933431481
2005-08-19,
2005-08-22,1.84241524088773
2005-08-23,1.8048967240969178
2005-08-24,
2005-08-25,
2005-08-26,2.105745852002427
2005-08-29,1.2281029608792016
2005-08-30,1.776347278212539
2005-08-31,2.3108034899911747
2005-09-01,1.5238096841459234
2005-09-02,2.233814135073239
2005-09-05,2.4354372327375553
2005-09-06,
2005-09-07,1.7821717400390913
2005-09-08,
2005-09-09,2.0433925324894684
2005-09-12,
2005-09-13,1.162588584153419
2005-09-14,1.5285657082947888
2005-09-15,
2005-09-16,
2005-09-19,3.324709626140168
2005-09-20,3.0811458475502134
2005-09-21,2.408998590678294
2005-09-22,
2005-09-23,
2005-09-26,
2005-09-27,1.5600498260022364
2005-09-28,
2005-09-29,
2005-09-30,
2005-10-10,
2005-10-11,
2005-10-12,
2005-10-13,
2005-10-14,
2005-10-17,
2005-10-18,
2005-10-19,
2005-10-20,
2005-10-21,
2005-10-24,
2005-10-25,
2005-10-26,
2005-10-27,
2005-10-28,
2005-10-31,
2005-11-01,3.3045561494101974
2005-11-02,2.029782747063723
2005-11-03,1.6054811707836985
2005-11-04,1.481508397896429
2005-11-07,
2005-11-09,3.1610470488187348
2005-11-10,
2005-11-14,3.2723416024528533
2005-11-15,
2005-11-16,1.6985745203583091
2005-11-17,
2005-11-18,1.8551715478741388
2005-11-21,2.030067903293626
2005-11-22,1.189636419580519
2005-11-23,
2005-11-24,3.9658993660551576
2005-11-25,4.597442583965725
2005-11-28,3.8657055673594574
2005-11-29,
2005-11-30,4.573788994346451
2005-12-01,
2005-12-02,2.377654626529792
2005-12-05,
2005-12-06,3.574445978302083
2005-12-07,
2005-12-08,
2005-12-09,4.63672491372701
2005-12-12,
2005-12-13,
2005-12-14,
2005-12-15,
2005-12-16,
2005-12-19,
2005-12-20,
2005-12-21,
2005-12-22,
2005-12-23,3.5798051167116114
2005-12-26,3.2651892379622915
2005-12-27,
2005-12-28,
2005-12-29,
2005-12-30,
