Stkcd,Trdmnt,Opndt,Mopnprc,Clsdt,Mclsprc,Mnshrtrd,Mnvaltrd,Msmvosd,Msmvttl,Ndaytrd,Mretwd,Mretnd,Markettype,Trdsta,Listdt,Trdyr,legal_trade_day
1,Jan-05,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,4,1,1991/4/3,2005,20
2,Jan-05,4,5.22,31,5.68,208676900,1154854577.0,8956494.82,10839498.79,20,0.079848,0.079848,4,1,1991/1/29,2005,20
4,Jan-05,4,6.74,31,5.87,10157372,69521036.0,244526.54,492943.14,20,-0.138032,-0.138032,4,1,1991/1/14,2005,20
6,Jan-05,4,4.12,31,4.44,71480749,344480350.0,700663.25,1125946.85,20,0.075061,0.075061,4,1,1992/4/27,2005,20
7,Jan-05,4,3.34,31,3.75,44545256,188838088.0,298353.6,538476.24,20,0.109467,0.109467,4,1,1992/4/13,2005,20
9,Jan-05,4,3.43,31,3.24,25784203,89108436.0,1878314.99,3106544.54,20,-0.055394,-0.055394,4,1,1991/6/25,2005,20
10,Jan-05,4,4.44,31,4.11,24604910,119339868.0,278632.71,604241.71,20,-0.074324,-0.074324,4,1,1995/10/27,2005,20
1,Feb-05,1,6.07,28,6.48,67333734,442179156.3,9132665.53,12608927.53,13,0.069307,0.069307,4,1,1991/4/3,2005,13
2,Feb-05,1,5.7,28,5.7,230874104,1377961381.0,8988031.77,10877666.04,13,0.003521,0.003521,4,1,1991/1/29,2005,13
4,Feb-05,1,5.88,28,6.55,5470223,34980600.79,272853.3,550047.28,13,0.115843,0.115843,4,1,1991/1/14,2005,13
6,Feb-05,1,4.39,28,4.72,19085486,87858964.43,744849.22,1196952.51,13,0.063063,0.063063,4,1,1992/4/27,2005,13
7,Feb-05,1,3.71,28,4.11,13404419,51608379.5,326995.55,590169.96,13,0.096,0.096,4,1,1992/4/13,2005,13
8,Feb-05,1,10.51,28,12.23,17813546,213108225.0,431603.71,900778.73,12,0.126151,0.126151,4,1,1992/5/7,2005,13
9,Feb-05,1,3.24,28,3.49,37916964,132957564.9,2023246.71,3346247.05,13,0.07716,0.07716,4,1,1991/6/25,2005,13
10,Feb-05,1,3.92,28,4.4,11610639,49176604.32,298292.92,646876.77,13,0.07056,0.07056,4,1,1995/10/27,2005,13
1,Mar-05,1,6.48,31,5.21,80760247,473815534.0,7342775.84,10137733.4,23,-0.195988,-0.195988,4,1,1991/4/3,2005,23
2,Mar-05,1,5.7,31,5.52,319988538,1795570789.0,8704199.19,10534160.8,21,-0.031579,-0.031579,4,1,1991/1/29,2005,23
4,Mar-05,1,6.4,31,5.54,8096675,48215760.0,230779.74,465230.83,23,-0.154198,-0.154198,4,1,1991/1/14,2005,23
6,Mar-05,1,4.7,31,4.1,21151850,93315760.0,647008.86,1039725.7,23,-0.131356,-0.131356,4,1,1992/4/27,2005,23
7,Mar-05,1,4.08,31,3.51,12155926,44315403.0,279258.97,504013.76,23,-0.145985,-0.145985,4,1,1992/4/13,2005,23
