Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Trdsta,PreClosePrice,ChangeRatio,Trdmnt,Listdt,Opndt,Mopnprc,Clsdt,Mclsprc,Mnshrtrd,Mnvaltrd,Msmvosd,Msmvttl,Ndaytrd,Mretwd,Mretnd,Trdyr,legal_trade_day
1,2005-01-04,6.59,6.59,6.46,6.52,1760832,11465602.0,9189040.01,12686760.41,-0.010622,-0.010622,156.847228,136.605927,4,1,6.59,-0.010622,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-05,6.52,6.55,6.35,6.46,3222144,20718558.0,9104478.29,12570011.08,-0.009202,-0.009202,155.403849,135.348817,4,1,6.52,-0.009202,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-06,6.5,6.59,6.45,6.52,2666413,17333840.0,9189040.01,12686760.41,0.009288,0.009288,156.847228,136.605927,4,1,6.46,0.009288,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-07,6.58,6.6,6.46,6.51,1886151,12302853.0,9174946.39,12667302.19,-0.001534,-0.001534,156.606665,136.396409,4,1,6.52,-0.001534,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-10,6.51,6.59,6.37,6.59,2632055,17111498.0,9287695.35,12822967.96,0.012289,0.012289,158.531171,138.072555,4,1,6.51,0.012289,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-12,6.6,6.61,6.47,6.53,1638669,10672635.0,9203133.63,12706218.63,-0.009105,-0.009105,157.087791,136.815445,4,1,6.59,-0.009105,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-13,6.53,6.6,6.5,6.57,1600774,10504590.0,9259508.11,12784051.52,0.006126,0.006126,158.050044,137.653519,4,1,6.53,0.006126,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-14,6.58,6.6,6.49,6.5,1604770,10476658.0,9160852.77,12647843.97,-0.010654,-0.010654,156.366102,136.186891,4,1,6.57,-0.010654,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-17,6.47,6.47,6.21,6.25,3171407,20039970.0,8808512.28,12161388.43,-0.038462,-0.038462,150.352021,130.948933,4,1,6.5,-0.038462,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-18,6.25,6.29,6.15,6.22,2591786,16109619.0,8766231.42,12103013.77,-0.0048,-0.0048,149.630331,130.320378,4,1,6.25,-0.0048,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-19,6.22,6.25,6.15,6.16,1685394,10416562.0,8681669.7,11986264.44,-0.009646,-0.009646,148.186952,129.063269,4,1,6.22,-0.009646,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-20,6.16,6.16,5.98,6.01,3948938,23815008.0,8470265.41,11694391.12,-0.024351,-0.024351,144.578503,125.920494,4,1,6.16,-0.024351,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-21,6.0,6.5,5.85,6.41,10037864,62408193.0,9034010.2,12472719.98,0.066556,0.066556,154.201032,134.301226,4,1,6.01,0.066556,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-24,6.6,6.65,6.38,6.47,6458370,41761044.0,9118571.91,12589469.3,0.00936,0.00936,155.644412,135.558336,4,1,6.41,0.00936,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-25,6.45,6.46,6.27,6.31,3500183,22142393.0,8893074.0,12278137.76,-0.02473,-0.02473,151.7954,132.206043,4,1,6.47,-0.02473,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-26,6.3,6.46,6.24,6.3,2537556,16124241.0,8878980.38,12258679.54,-0.001585,-0.001585,151.554837,131.996525,4,1,6.31,-0.001585,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-27,6.29,6.3,6.11,6.14,2525015,15671761.0,8653482.47,11947347.99,-0.025397,-0.025397,147.705825,128.644232,4,1,6.3,-0.025397,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-28,6.13,6.18,6.05,6.17,2331278,14212958.0,8695763.32,12005722.66,0.004886,0.004886,148.427515,129.272787,4,1,6.14,0.004886,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-01-31,6.15,6.15,6.03,6.06,1857816,11288374.0,8540733.51,11791682.22,-0.017828,-0.017828,145.781319,126.968086,4,1,6.17,-0.017828,2005-01,1991-04-03,4,6.59,31,6.06,57657415,364576357.0,8540733.51,11791682.22,19,-0.080425,-0.080425,2005,20
1,2005-02-01,6.07,6.19,6.06,6.09,2126785,13006364.26,8583014.37,11850056.89,0.00495,0.00495,146.503009,127.59664,4,1,6.06,0.00495,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-02,6.1,6.41,6.09,6.4,5696657,35957946.0,9019916.58,12453261.75,0.050903,0.050903,153.960469,134.091708,4,1,6.09,0.050903,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-03,6.4,6.44,6.3,6.31,4140780,26337392.0,8893074.0,12278137.76,-0.014063,-0.014063,151.7954,132.206043,4,1,6.4,-0.014063,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-04,6.3,6.74,6.24,6.6,8917972,58460210.0,9301788.97,12842426.18,0.045959,0.045959,158.771734,138.282073,4,1,6.31,0.045959,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-16,6.6,6.68,6.53,6.59,4231699,27970435.0,9287695.35,12822967.96,-0.001515,-0.001515,158.531171,138.072555,4,1,6.6,-0.001515,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-17,6.6,6.64,6.51,6.56,3027991,19839009.0,9245414.49,12764593.3,-0.004552,-0.004552,157.809481,137.444,4,1,6.59,-0.004552,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-18,6.58,6.68,6.55,6.6,3964630,26213869.0,9301788.97,12842426.18,0.006098,0.006098,158.771734,138.282073,4,1,6.56,0.006098,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-21,6.63,6.77,6.63,6.71,6460861,43335847.0,9456818.79,13056466.62,0.016667,0.016667,161.417929,140.586775,4,1,6.6,0.016667,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-22,6.71,6.76,6.6,6.74,7842572,52460968.0,9499099.64,13114841.28,0.004471,0.004471,162.139619,141.21533,4,1,6.71,0.004471,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-23,6.74,6.77,6.61,6.67,5119877,34215336.0,9400444.31,12978633.73,-0.010386,-0.010386,160.455677,139.748702,4,1,6.74,-0.010386,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-24,6.68,6.68,6.57,6.63,4987234,32969255.0,9344069.83,12900800.85,-0.005997,-0.005997,159.493424,138.910628,4,1,6.67,-0.005997,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
1,2005-02-25,6.63,6.76,6.63,6.64,5657898,37865715.0,9358163.45,12920259.07,0.001508,0.001508,159.733987,139.120147,4,1,6.63,0.001508,2005-02,1991-04-03,1,6.07,28,6.48,67333734,442179156.26,9132665.53,12608927.53,13,0.069307,0.069307,2005,13
