,beta,Beta_neg,Beta_abs_intra,Square,BQ100,AutoCorr
Avg ret,0.0016,0.0085,0.0088,0.0059,0.0076,0.0074
,0.1846,1.2507,1.0294,1.1325,0.8934,0.7031
Std dev,0.035,0.031,0.0452,0.0298,0.0344,0.0367
SR,0.0448,0.2756,0.1938,0.1963,0.2217,0.2008
,,,,,,
beta_mkt,-3.0597,-1.849,-1.7827,-0.416,0.6361,-2.7089
,-3.0199,-2.1729,-1.1734,-0.2719,0.8306,-3.1863
beta_vmg,10.4016,5.8986,-2.0067,-1.0953,-6.1802,9.0771
,3.6604,2.2397,-0.5448,-0.3201,-2.237,2.6688
beta_smb,10.9669,5.5754,0.5389,-2.3398,-1.4873,3.6694
,3.1716,1.4623,0.2613,-0.5219,-0.4516,1.2913
Alpha,0.0108,0.0147,0.0149,0.0086,0.0002,0.0209
,1.5072,2.1688,1.5946,1.7499,0.0262,2.6728
,,,,,,
Adj R2,0.2132,-0.0502,-0.1654,-0.1822,-0.0015,0.3192
