stkcd,date,time,open,high,low,close,volume,turnover
300,2005-04-08,09:30:00,983.998,983.998,983.651,983.698,108578.0,59748293.0
300,2005-04-08,09:31:00,983.666,984.184,983.666,983.851,57843.0,29505216.0
300,2005-04-08,09:32:00,983.937,984.584,983.937,984.366,56896.0,30075903.0
300,2005-04-08,09:33:00,984.793,984.937,984.446,984.937,62641.0,34274460.0
300,2005-04-08,09:34:00,984.836,985.556,984.836,985.556,55231.0,29149663.0
300,2005-04-08,09:35:00,985.641,986.476,985.641,986.37,65544.0,36370021.0
300,2005-04-08,09:36:00,986.621,987.297,986.458,987.297,69476.0,38683425.0
300,2005-04-08,09:37:00,987.468,988.065,987.468,988.017,89639.0,53586654.0
300,2005-04-08,09:38:00,987.899,988.31,987.899,988.31,67913.0,39599713.0
300,2005-04-08,09:39:00,988.375,988.455,988.05,988.05,85157.0,45154314.0
300,2005-04-08,09:40:00,988.153,988.153,987.69,987.69,69712.0,42879094.0
300,2005-04-08,09:41:00,987.625,987.625,986.946,987.083,66460.0,41274809.0
300,2005-04-08,09:42:00,986.849,986.849,986.166,986.173,68814.0,41391837.0
300,2005-04-08,09:43:00,986.034,986.034,985.433,985.433,77173.0,47277186.0
300,2005-04-08,09:44:00,985.069,985.075,984.259,984.259,75629.0,47693767.0
300,2005-04-08,09:45:00,983.95,983.95,983.38,983.403,74243.0,47143175.0
300,2005-04-08,09:46:00,983.17,983.44,982.78,982.78,63973.0,39770340.0
300,2005-04-08,09:47:00,982.86,982.86,982.422,982.422,57104.0,34540230.0
300,2005-04-08,09:48:00,982.238,982.441,982.004,982.004,62896.0,36124757.0
300,2005-04-08,09:49:00,981.963,982.259,981.84,981.84,44069.0,25698767.0
300,2005-04-08,09:50:00,981.781,982.121,981.78,981.78,57990.0,35139389.0
300,2005-04-08,09:51:00,981.675,981.78,981.66,981.675,52196.0,31247493.0
300,2005-04-08,09:52:00,981.738,981.812,981.568,981.733,51054.0,33331353.0
300,2005-04-08,09:53:00,981.778,982.055,981.708,982.055,54178.0,34751623.0
300,2005-04-08,09:54:00,982.003,982.348,981.832,982.183,48359.0,34671502.0
300,2005-04-08,09:55:00,982.281,982.552,982.281,982.552,68954.0,44063232.0
300,2005-04-08,09:56:00,982.656,982.965,982.656,982.965,51472.0,31658604.0
300,2005-04-08,09:57:00,982.883,983.248,982.883,983.192,50900.0,30008385.0
300,2005-04-08,09:58:00,983.3,983.591,983.182,983.456,53110.0,32610905.0
300,2005-04-08,09:59:00,983.586,983.917,983.561,983.917,65204.0,39410310.0
300,2005-04-08,10:00:00,983.888,984.161,983.78,983.913,45470.0,29595675.0
300,2005-04-08,10:01:00,983.93,984.077,983.865,983.876,59318.0,36795105.0
300,2005-04-08,10:02:00,983.842,983.922,983.561,983.561,53463.0,34646388.0
300,2005-04-08,10:03:00,983.501,983.691,983.415,983.466,44884.0,27841766.0
300,2005-04-08,10:04:00,983.337,983.337,982.858,982.944,43708.0,26436342.0
300,2005-04-08,10:05:00,982.772,982.829,982.681,982.683,40262.0,24997815.0
300,2005-04-08,10:06:00,982.537,982.706,982.296,982.339,58315.0,33551274.0
300,2005-04-08,10:07:00,982.382,982.382,982.131,982.131,48321.0,31936635.0
300,2005-04-08,10:08:00,982.133,982.267,981.978,981.978,46769.0,30479485.0
300,2005-04-08,10:09:00,981.946,981.946,981.589,981.739,42880.0,29444558.0
300,2005-04-08,10:10:00,981.607,981.607,981.282,981.282,46272.0,31064772.0
300,2005-04-08,10:11:00,981.284,981.284,980.973,980.973,44020.0,33116627.0
300,2005-04-08,10:12:00,980.821,980.826,980.624,980.64,59288.0,37140917.0
300,2005-04-08,10:13:00,980.626,980.626,980.167,980.186,54027.0,31509294.0
300,2005-04-08,10:14:00,980.354,980.354,980.0,980.07,54114.0,32208861.0
300,2005-04-08,10:15:00,979.997,980.043,979.798,979.798,49523.0,28514723.0
300,2005-04-08,10:16:00,979.839,979.839,979.575,979.575,49214.0,30651166.0
300,2005-04-08,10:17:00,979.586,979.774,979.556,979.601,42592.0,25796375.0
300,2005-04-08,10:18:00,979.572,979.978,979.562,979.741,53640.0,32843330.0
300,2005-04-08,10:19:00,979.825,980.143,979.825,980.106,45242.0,30684920.0
300,2005-04-08,10:20:00,980.167,980.392,980.167,980.392,44337.0,29988524.0
300,2005-04-08,10:21:00,980.493,980.962,980.493,980.962,44941.0,28242695.0
300,2005-04-08,10:22:00,980.977,981.467,980.974,981.467,47234.0,31597782.0
