stkcd,date,time,open,high,low,close,volume,turnover
4,2005-01-04,09:30:00,6.7,6.7,6.6,6.6,6900.0,45630.0
4,2005-01-04,09:31:00,6.52,6.52,6.52,6.52,200.0,1304.0
4,2005-01-04,09:33:00,6.55,6.55,6.55,6.55,300.0,1965.0
4,2005-01-04,09:35:00,6.55,6.55,6.52,6.52,7000.0,45780.0
4,2005-01-04,09:36:00,6.6,6.6,6.6,6.6,1900.0,12460.0
4,2005-01-04,09:37:00,6.6,6.6,6.6,6.6,100.0,660.0
4,2005-01-04,09:40:00,6.7,6.7,6.7,6.7,200.0,1340.0
4,2005-01-04,09:42:00,6.7,6.7,6.7,6.7,800.0,5360.0
4,2005-01-04,09:43:00,6.7,6.7,6.7,6.7,2000.0,13400.0
4,2005-01-04,09:44:00,6.7,6.7,6.7,6.7,1100.0,7370.0
4,2005-01-04,09:45:00,6.7,6.7,6.7,6.7,2100.0,14070.0
4,2005-01-04,09:46:00,6.65,6.65,6.65,6.65,800.0,5320.0
4,2005-01-04,09:47:00,6.65,6.65,6.65,6.65,1000.0,6650.0
4,2005-01-04,09:49:00,6.62,6.62,6.62,6.62,700.0,4634.0
4,2005-01-04,09:53:00,6.65,6.65,6.64,6.64,4000.0,26595.0
4,2005-01-04,09:55:00,6.7,6.7,6.7,6.7,2400.0,16060.0
4,2005-01-04,09:56:00,6.7,6.7,6.7,6.7,6100.0,40870.0
4,2005-01-04,09:57:00,6.72,6.72,6.72,6.72,1000.0,6720.0
4,2005-01-04,09:58:00,6.72,6.72,6.72,6.72,600.0,4032.0
4,2005-01-04,09:59:00,6.72,6.72,6.72,6.72,1276.0,8574.719999999972
4,2005-01-04,10:03:00,6.74,6.74,6.74,6.74,600.0,4028.48000000004
4,2005-01-04,10:04:00,6.75,6.75,6.75,6.75,2000.0,13481.0
4,2005-01-04,10:07:00,6.71,6.71,6.71,6.71,1000.0,6710.0
4,2005-01-04,10:08:00,6.73,6.73,6.73,6.73,1000.0,6730.0
4,2005-01-04,10:13:00,6.71,6.71,6.71,6.71,1300.0,8723.0
4,2005-01-04,10:14:00,6.7,6.7,6.7,6.7,7424.0,49740.79999999999
4,2005-01-04,10:15:00,6.69,6.69,6.69,6.69,400.0,2676.0
4,2005-01-04,10:16:00,6.69,6.69,6.69,6.69,100.0,669.0
4,2005-01-04,10:17:00,6.68,6.68,6.68,6.68,1000.0,6680.0
4,2005-01-04,10:18:00,6.68,6.68,6.68,6.68,100.0,668.0
4,2005-01-04,10:19:00,6.68,6.68,6.68,6.68,900.0,6012.0
4,2005-01-04,10:20:00,6.68,6.68,6.67,6.67,1300.0,8679.0
4,2005-01-04,10:21:00,6.68,6.68,6.68,6.68,1000.0,6680.0
4,2005-01-04,10:24:00,6.69,6.69,6.69,6.69,1400.0,9366.0
4,2005-01-04,10:27:00,6.69,6.69,6.69,6.69,2000.0,13380.0
4,2005-01-04,10:28:00,6.7,6.7,6.7,6.7,500.0,3350.0
4,2005-01-04,10:29:00,6.7,6.7,6.7,6.7,600.0,4020.0
4,2005-01-04,10:30:00,6.7,6.7,6.7,6.7,10181.0,68212.70000000001
4,2005-01-04,10:32:00,6.74,6.74,6.74,6.74,1819.0,12220.059999999998
4,2005-01-04,10:33:00,6.74,6.74,6.74,6.74,500.0,3370.0
4,2005-01-04,10:37:00,6.69,6.69,6.68,6.68,3500.0,23382.0
4,2005-01-04,10:38:00,6.66,6.66,6.66,6.66,3900.0,25974.0
4,2005-01-04,10:41:00,6.68,6.68,6.68,6.68,4600.0,30651.0
4,2005-01-04,10:42:00,6.68,6.68,6.68,6.68,900.0,6012.0
4,2005-01-04,11:04:00,6.69,6.69,6.69,6.69,100.0,669.0
4,2005-01-04,11:05:00,6.69,6.69,6.69,6.69,100.0,669.0
4,2005-01-04,11:09:00,6.72,6.72,6.72,6.72,500.0,3360.0
4,2005-01-04,11:10:00,6.72,6.72,6.72,6.72,3500.0,23520.0
4,2005-01-04,11:11:00,6.72,6.73,6.72,6.73,7200.0,48406.0
4,2005-01-04,11:12:00,6.74,6.74,6.74,6.74,2991.0,20159.339999999967
4,2005-01-04,11:13:00,6.75,6.75,6.75,6.75,4900.0,33045.0
4,2005-01-04,11:14:00,6.75,6.75,6.75,6.75,1300.0,8775.0
4,2005-01-04,11:15:00,6.75,6.75,6.75,6.75,1200.0,8100.0
4,2005-01-04,11:16:00,6.75,6.75,6.75,6.75,400.0,2700.0
4,2005-01-04,11:17:00,6.72,6.75,6.72,6.75,2800.0,18885.0
4,2005-01-04,11:18:00,6.75,6.78,6.75,6.78,5600.0,37878.0
4,2005-01-04,11:19:00,6.76,6.76,6.76,6.76,5700.0,38532.0
4,2005-01-04,11:20:00,6.76,6.76,6.76,6.76,1800.0,12168.0
4,2005-01-04,11:21:00,6.78,6.78,6.78,6.78,100.0,678.0
4,2005-01-04,11:22:00,6.78,6.78,6.78,6.78,2000.0,13560.0
4,2005-01-04,11:23:00,6.78,6.78,6.78,6.78,900.0,6102.0
4,2005-01-04,11:26:00,6.76,6.76,6.75,6.75,5900.0,39867.0
4,2005-01-04,11:27:00,6.75,6.75,6.75,6.75,700.0,4725.0
4,2005-01-04,11:29:00,6.72,6.72,6.72,6.72,400.0,2688.0
4,2005-01-04,13:00:00,6.74,6.78,6.74,6.78,5000.0,33786.0
4,2005-01-04,13:02:00,6.77,6.77,6.72,6.72,2600.0,17547.0
4,2005-01-04,13:03:00,6.72,6.72,6.72,6.72,200.0,1344.0
4,2005-01-04,13:04:00,6.72,6.72,6.72,6.72,100.0,672.0
4,2005-01-04,13:05:00,6.72,6.72,6.72,6.72,200.0,1344.0
4,2005-01-04,13:09:00,6.73,6.73,6.73,6.73,600.0,4038.0
4,2005-01-04,13:10:00,6.77,6.77,6.77,6.77,200.0,1354.0
4,2005-01-04,13:15:00,6.74,6.74,6.74,6.74,400.0,2696.0
4,2005-01-04,13:16:00,6.74,6.74,6.74,6.74,200.0,1348.0
4,2005-01-04,13:19:00,6.73,6.73,6.73,6.73,1500.0,10099.0
4,2005-01-04,13:24:00,6.73,6.73,6.73,6.73,100.0,673.0
4,2005-01-04,13:25:00,6.78,6.78,6.78,6.78,5700.0,38626.0
4,2005-01-04,13:26:00,6.78,6.78,6.78,6.78,3600.0,24408.00000000012
4,2005-01-04,13:27:00,6.78,6.78,6.78,6.78,1400.0,9492.0
4,2005-01-04,13:28:00,6.78,6.78,6.78,6.78,700.0,4746.0
4,2005-01-04,13:29:00,6.78,6.78,6.78,6.78,2200.0,14916.0
4,2005-01-04,13:30:00,6.78,6.78,6.78,6.78,200.0,1356.0
4,2005-01-04,13:36:00,6.73,6.73,6.73,6.73,100.0,673.0
4,2005-01-04,13:38:00,6.75,6.75,6.75,6.75,300.0,2025.0
4,2005-01-04,13:40:00,6.75,6.78,6.75,6.78,1300.0,8787.0
4,2005-01-04,13:42:00,6.78,6.78,6.78,6.78,2000.0,13560.0
4,2005-01-04,13:44:00,6.77,6.77,6.77,6.77,200.0,1354.0
4,2005-01-04,13:46:00,6.75,6.75,6.75,6.75,300.0,2025.0
4,2005-01-04,13:48:00,6.73,6.73,6.73,6.73,2000.0,13460.0
4,2005-01-04,13:49:00,6.73,6.73,6.73,6.73,100.0,673.0
4,2005-01-04,13:53:00,6.73,6.73,6.73,6.73,500.0,3365.0
4,2005-01-04,13:55:00,6.75,6.75,6.75,6.75,5000.0,33736.0
4,2005-01-04,13:57:00,6.75,6.75,6.75,6.75,300.0,2025.0
4,2005-01-04,14:00:00,6.74,6.74,6.74,6.74,800.0,5392.0
4,2005-01-04,14:03:00,6.74,6.74,6.73,6.73,2000.0,13475.0
4,2005-01-04,14:04:00,6.74,6.74,6.74,6.74,8000.0,53883.0
4,2005-01-04,14:05:00,6.72,6.72,6.72,6.72,200.0,1344.0
4,2005-01-04,14:07:00,6.74,6.74,6.74,6.74,2000.0,13480.0
4,2005-01-04,14:08:00,6.73,6.73,6.73,6.73,200.0,1346.0
4,2005-01-04,14:09:00,6.73,6.74,6.72,6.74,6300.0,42361.02000000002
4,2005-01-04,14:11:00,6.74,6.74,6.74,6.74,300.0,2022.0
4,2005-01-04,14:12:00,6.74,6.74,6.74,6.74,100.0,674.0
4,2005-01-04,14:14:00,6.71,6.71,6.71,6.71,1500.0,10065.0
4,2005-01-04,14:15:00,6.71,6.71,6.71,6.71,1000.0,6710.0
4,2005-01-04,14:19:00,6.71,6.71,6.71,6.71,1000.0,6710.0
4,2005-01-04,14:21:00,6.71,6.71,6.71,6.71,1000.0,6710.0
4,2005-01-04,14:22:00,6.71,6.71,6.71,6.71,1000.0,6710.0
4,2005-01-04,14:26:00,6.71,6.71,6.71,6.71,200.0,1342.0
4,2005-01-04,14:28:00,6.71,6.71,6.71,6.71,500.0,3355.0
4,2005-01-04,14:29:00,6.71,6.71,6.71,6.71,4000.0,26840.0
4,2005-01-04,14:34:00,6.74,6.74,6.74,6.74,2900.0,19546.0
4,2005-01-04,14:36:00,6.74,6.74,6.74,6.74,6549.0,44140.25999999978
4,2005-01-04,14:37:00,6.74,6.74,6.74,6.74,500.0,3370.0
4,2005-01-04,14:38:00,6.75,6.75,6.75,6.75,500.0,3375.0
4,2005-01-04,14:41:00,6.75,6.75,6.75,6.75,1100.0,7425.0
4,2005-01-04,14:46:00,6.75,6.75,6.74,6.74,8100.0,54596.0
4,2005-01-04,14:47:00,6.74,6.74,6.72,6.72,2051.0,13783.740000000224
4,2005-01-04,14:48:00,6.72,6.72,6.72,6.72,600.0,4032.0
4,2005-01-04,14:50:00,6.71,6.73,6.71,6.71,3300.0,22149.0
4,2005-01-04,14:51:00,6.71,6.73,6.71,6.71,3800.0,25508.0
4,2005-01-04,14:53:00,6.71,6.71,6.71,6.71,400.0,2684.0
4,2005-01-04,14:54:00,6.73,6.73,6.73,6.73,1000.0,6730.0
4,2005-01-04,14:55:00,6.72,6.72,6.71,6.71,1400.0,9398.0
4,2005-01-04,14:56:00,6.72,6.72,6.71,6.71,12100.0,81202.0
4,2005-01-04,14:57:00,6.71,6.71,6.71,6.71,400.0,2684.0
4,2005-01-04,14:58:00,6.7,6.7,6.7,6.7,4400.0,29480.0
4,2005-01-04,14:59:00,6.71,6.71,6.69,6.69,11300.0,75751.0
4,2005-01-05,09:30:00,6.6,6.68,6.6,6.68,5200.0,34341.0
4,2005-01-05,09:36:00,6.68,6.68,6.68,6.68,700.0,4676.0
4,2005-01-05,09:37:00,6.68,6.68,6.68,6.68,500.0,3340.0
4,2005-01-05,09:39:00,6.68,6.68,6.68,6.68,500.0,3340.0
4,2005-01-05,09:40:00,6.65,6.65,6.65,6.65,500.0,3325.0
4,2005-01-05,09:41:00,6.7,6.7,6.7,6.7,500.0,3350.0
4,2005-01-05,09:43:00,6.7,6.7,6.7,6.7,2200.0,14743.0
4,2005-01-05,09:51:00,6.75,6.75,6.75,6.75,100.0,675.0
4,2005-01-05,09:53:00,6.75,6.75,6.75,6.75,1700.0,11475.0
4,2005-01-05,09:55:00,6.73,6.73,6.73,6.73,400.0,2692.0
4,2005-01-05,09:56:00,6.72,6.72,6.72,6.72,1000.0,6720.0
4,2005-01-05,09:58:00,6.72,6.72,6.72,6.72,2000.0,13440.0
4,2005-01-05,10:00:00,6.73,6.73,6.73,6.73,200.0,1346.0
4,2005-01-05,10:01:00,6.73,6.73,6.73,6.73,100.0,673.0
4,2005-01-05,10:02:00,6.75,6.75,6.75,6.75,500.0,3375.0
4,2005-01-05,10:04:00,6.75,6.75,6.75,6.75,900.0,6075.0
4,2005-01-05,10:06:00,6.75,6.75,6.75,6.75,300.0,2025.0
4,2005-01-05,10:07:00,6.8,6.8,6.8,6.8,1300.0,8832.0
4,2005-01-05,10:11:00,6.8,6.8,6.8,6.8,1400.0,9520.0
4,2005-01-05,10:12:00,6.81,6.82,6.81,6.82,3100.0,21107.0
4,2005-01-05,10:13:00,6.82,6.82,6.82,6.82,600.0,4092.0
4,2005-01-05,10:14:00,6.81,6.81,6.81,6.81,1000.0,6810.0
4,2005-01-05,10:15:00,6.81,6.81,6.81,6.81,1000.0,6810.0
4,2005-01-05,10:16:00,6.81,6.81,6.81,6.81,300.0,2043.0
4,2005-01-05,10:19:00,6.75,6.75,6.75,6.75,100.0,675.0
4,2005-01-05,10:20:00,6.75,6.75,6.75,6.75,1400.0,9450.0
4,2005-01-05,10:21:00,6.75,6.75,6.74,6.75,2400.0,16180.0
4,2005-01-05,10:22:00,6.75,6.75,6.75,6.75,200.0,1350.0
4,2005-01-05,10:26:00,6.73,6.73,6.73,6.73,400.0,2692.0
4,2005-01-05,10:30:00,6.72,6.72,6.71,6.71,2700.0,18132.0
4,2005-01-05,10:31:00,6.71,6.71,6.71,6.71,300.0,2013.0
4,2005-01-05,10:33:00,6.7,6.7,6.7,6.7,4500.0,30150.0
4,2005-01-05,10:34:00,6.7,6.7,6.7,6.7,11500.0,77050.0
4,2005-01-05,10:35:00,6.7,6.7,6.7,6.7,200.0,1340.0
4,2005-01-05,10:36:00,6.69,6.7,6.69,6.7,19790.0,132589.0
4,2005-01-05,10:37:00,6.71,6.71,6.71,6.71,1000.0,6710.0
4,2005-01-05,10:38:00,6.7,6.7,6.7,6.7,4600.0,30865.0
4,2005-01-05,10:39:00,6.73,6.73,6.73,6.73,200.0,1346.0
4,2005-01-05,10:41:00,6.74,6.74,6.74,6.74,100.0,674.0
4,2005-01-05,10:42:00,6.75,6.75,6.75,6.75,7300.0,49275.0
4,2005-01-05,10:43:00,6.75,6.75,6.75,6.75,4400.0,29700.0
4,2005-01-05,10:45:00,6.8,6.8,6.8,6.8,100.0,680.0
4,2005-01-05,10:46:00,6.78,6.78,6.78,6.78,600.0,4068.0
4,2005-01-05,10:51:00,6.82,6.82,6.82,6.82,5700.0,38808.0
4,2005-01-05,10:52:00,6.82,6.82,6.82,6.82,1500.0,10230.0
4,2005-01-05,10:56:00,6.81,6.82,6.81,6.82,3384.0,23059.880000000005
4,2005-01-05,10:57:00,6.84,6.85,6.84,6.84,10600.0,72601.0
4,2005-01-05,10:58:00,6.85,6.85,6.84,6.84,17400.0,119177.0
4,2005-01-05,10:59:00,6.83,6.83,6.83,6.83,1716.0,11730.280000000028
4,2005-01-05,11:01:00,6.83,6.83,6.83,6.83,400.0,2732.0
4,2005-01-05,11:02:00,6.83,6.83,6.83,6.83,300.0,2049.0
4,2005-01-05,11:03:00,6.83,6.83,6.83,6.83,1000.0,6830.0
